Id,SalePrice
1461,121550.98311842403
1462,167098.6302459907
1463,187325.28108277897
1464,199916.4468202728
1465,205279.65775538582
1466,166803.82768867086
1467,172139.40498080925
1468,159584.85262006635
1469,198543.59253099374
1470,111541.67302135324
1471,171771.37628724525
1472,98539.15254703262
1473,94438.23588907377
1474,143187.53909131148
1475,101539.30691446079
1476,377631.84706590616
1477,260769.0333818678
1478,305332.48983677593
1479,302432.2998855206
1480,478655.01349230367
1481,314569.86939221865
1482,205490.97384965586
1483,181817.19863185086
1484,159676.91783756303
1485,175259.26121587897
1486,191166.43969300014
1487,324181.02549837006
1488,242606.7071179775
1489,211568.76036072872
1490,263653.1336808646
1491,203852.54171390293
1492,97391.96458301602
1493,205606.84510084993
1494,282206.1261138298
1495,278240.01304118976
1496,251700.88004189817
1497,174692.67981233008
1498,172334.59400523553
1499,157914.86449582898
1500,153710.35668628803
1501,176400.633607904
1502,133935.21252661513
1503,325866.5733019677
1504,235121.22486611814
1505,229085.31959765594
1506,196267.15009235358
1507,255930.25128550318
1508,208607.74982201942
1509,153096.52176110563
1510,148245.7593833071
1511,162839.89296328023
1512,172948.31190121226
1513,152246.2499467113
1514,161154.02923865075
1515,203964.64776292595
1516,148254.01180404876
1517,182748.96587849504
1518,115122.91775525826
1519,222408.22687115477
1520,133326.4942082451
1521,139470.88710793233
1522,171905.49872062335
1523,107037.46618460621
1524,126720.27455474787
1525,117221.93879243043
1526,107074.50692878981
1527,90888.0617964365
1528,138497.5640444833
1529,160990.8279258889
1530,208071.03594207138
1531,115251.11063092579
1532,81302.65933247076
1533,183538.21851596722
1534,130984.41022856603
1535,157122.98314811042
1536,98733.309197947
1537,65726.46598535446
1538,156652.04274093796
1539,186552.09212789993
1540,113760.37538994315
1541,140373.78751031967
1542,157431.89083137404
1543,204251.2696578023
1544,65589.8721237753
1545,119830.37842469529
1546,127399.59424079275
1547,138050.31677513378
1548,138597.8865517509
1549,113589.23641639657
1550,127113.57520101672
1551,115250.11937546004
1552,151459.73114080043
1553,148591.4849463778
1554,114605.43189761296
1555,164293.09530999133
1556,63056.14234756184
1557,140732.17501880508
1558,111788.42128505594
1559,64404.83901342106
1560,107061.57842622264
1561,135199.30426121055
1562,131640.4656635127
1563,120780.79063000127
1564,155224.85959305632
1565,144783.5013664767
1566,235165.56218818272
1567,68321.5508184655
1568,218652.85163577893
1569,151614.95010322242
1570,129714.89190216578
1571,120310.29016909483
1572,152354.33310584933
1573,253858.7206988642
1574,139552.2553355975
1575,229765.71930122576
1576,249811.3260854799
1577,181780.04606475818
1578,139701.09846593946
1579,145742.56477769787
1580,190768.17308528442
1581,156553.25090065403
1582,120402.60158163685
1583,287768.0042185233
1584,220265.5930132577
1585,135325.89815280144
1586,61089.140462950054
1587,109999.41925400081
1588,158663.35867164817
1589,95929.06259098738
1590,132728.81483027127
1591,95318.67984225794
1592,127989.24896882051
1593,112589.79545368765
1594,117130.63734608267
1595,110094.94300386729
1596,228113.06667669964
1597,189953.25341096925
1598,206106.97584834284
1599,188775.74768121395
1600,165873.2930083712
1601,54080.854470590064
1602,123172.40132247077
1603,90744.97183864577
1604,280595.41240540356
1605,226711.78070942845
1606,165285.86324206792
1607,176325.33828654236
1608,191839.60272019284
1609,195261.6414662957
1610,145461.41131834083
1611,139484.5658125537
1612,192213.23679785256
1613,167136.15195826557
1614,127642.94582473708
1615,88104.23975993745
1616,62147.30869075855
